origin,dest,passengers,distancemiles,origin_name,origin_cbsa,origin_cbsa_name,dest_name,dest_cbsa,dest_cbsa_name
LGA,BUF,71730,292,LaGuardia,35620,"New York-Newark-Jersey City, NY-NJ-PA",Buffalo Niagara International,15380,"Buffalo-Cheektowaga, NY"
MSP,FSD,95530,196,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Joe Foss Field,43620,"Sioux Falls, SD"
SLC,BZN,111160,347,Salt Lake City International,41620,"Salt Lake City, UT",Bozeman Yellowstone International,14580,"Bozeman, MT"
SLC,SEA,424050,689,Salt Lake City International,41620,"Salt Lake City, UT",Seattle/Tacoma International,42660,"Seattle-Tacoma-Bellevue, WA"
MSP,DSM,57090,232,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Des Moines International,19780,"Des Moines-West Des Moines, IA"
MSP,BOS,299520,1124,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Logan International,14460,"Boston-Cambridge-Newton, MA-NH"
MSP,LGA,250120,1020,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",LaGuardia,35620,"New York-Newark-Jersey City, NY-NJ-PA"
MSP,FAR,127590,223,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Hector International,22020,"Fargo, ND-MN"
SLC,ATL,464470,1590,Salt Lake City International,41620,"Salt Lake City, UT",Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA"
SLC,DCA,61750,1851,Salt Lake City International,41620,"Salt Lake City, UT",Ronald Reagan Washington National,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
SLC,JFK,280840,1990,Salt Lake City International,41620,"Salt Lake City, UT",John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA"
SLC,MSY,52980,1428,Salt Lake City International,41620,"Salt Lake City, UT",Louis Armstrong New Orleans International,35380,"New Orleans-Metairie, LA"
SLC,SAT,91220,1087,Salt Lake City International,41620,"Salt Lake City, UT",San Antonio International,41700,"San Antonio-New Braunfels, TX"
SLC,SNA,226830,588,Salt Lake City International,41620,"Salt Lake City, UT",John Wayne Airport-Orange County,31080,"Los Angeles-Long Beach-Anaheim, CA"
SLC,FAT,74330,501,Salt Lake City International,41620,"Salt Lake City, UT",Fresno Yosemite International,23420,"Fresno, CA"
SLC,IDA,82980,188,Salt Lake City International,41620,"Salt Lake City, UT",Idaho Falls Regional,26820,"Idaho Falls, ID"
SLC,PSP,62640,541,Salt Lake City International,41620,"Salt Lake City, UT",Palm Springs International,40140,"Riverside-San Bernardino-Ontario, CA"
ATL,GPT,99980,352,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Gulfport-Biloxi International,25060,"Gulfport-Biloxi, MS"
ATL,BOS,577460,946,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Logan International,14460,"Boston-Cambridge-Newton, MA-NH"
ATL,MCO,1143930,404,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Orlando International,36740,"Orlando-Kissimmee-Sanford, FL"
DTW,GSP,32370,508,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",Greenville-Spartanburg International,43900,"Spartanburg, SC"
ATL,ALB,125600,853,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Albany International,10580,"Albany-Schenectady-Troy, NY"
ATL,BDL,265460,859,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Bradley International,25540,"Hartford-East Hartford-Middletown, CT"
ATL,DTW,609260,594,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI"
ATL,MKE,276270,669,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",General Mitchell International,33340,"Milwaukee-Waukesha, WI"
ATL,DAL,353130,721,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Dallas Love Field,19100,"Dallas-Fort Worth-Arlington, TX"
ATL,MEM,376700,332,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Memphis International,32820,"Memphis, TN-MS-AR"
ATL,BWI,631380,577,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Baltimore/Washington International,12580,"Baltimore-Columbia-Towson, MD"
ATL,CMH,324310,447,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",John Glenn Columbus International,18140,"Columbus, OH"
ATL,MSY,525540,425,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Louis Armstrong New Orleans International,35380,"New Orleans-Metairie, LA"
ATL,ORF,337330,516,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Norfolk International,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
ATL,PIT,304270,526,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Pittsburgh International,38300,"Pittsburgh, PA"
LAX,FLL,297470,2343,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",Fort Lauderdale-Hollywood International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL"
LAX,MCO,454250,2218,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",Orlando International,36740,"Orlando-Kissimmee-Sanford, FL"
LAX,LAS,1046680,236,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",McCarran International,29820,"Las Vegas-Henderson-Paradise, NV"
LAX,SAN,49300,109,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",San Diego International,41740,"San Diego-Chula Vista-Carlsbad, CA"
LAX,SMF,349900,373,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",Sacramento International,40900,"Sacramento-Roseville-Folsom, CA"
MSP,RDU,126900,980,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Raleigh-Durham International,39580,"Raleigh-Cary, NC"
MSP,CMH,79600,626,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",John Glenn Columbus International,18140,"Columbus, OH"
SEA,MCO,260490,2554,Seattle/Tacoma International,42660,"Seattle-Tacoma-Bellevue, WA",Orlando International,36740,"Orlando-Kissimmee-Sanford, FL"
SLC,PDX,280140,630,Salt Lake City International,41620,"Salt Lake City, UT",Portland International,38900,"Portland-Vancouver-Hillsboro, OR-WA"
ATL,OMA,196310,821,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Eppley Airfield,36540,"Omaha-Council Bluffs, NE-IA"
ATL,DAB,172330,366,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Daytona Beach International,19660,"Deltona-Daytona Beach-Ormond Beach, FL"
ATL,IND,397560,432,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Indianapolis International,26900,"Indianapolis-Carmel-Anderson, IN"
ATL,JFK,344030,760,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA"
ATL,SLC,468780,1590,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Salt Lake City International,41620,"Salt Lake City, UT"
ATL,SRQ,349790,444,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Sarasota/Bradenton International,35840,"North Port-Sarasota-Bradenton, FL"
ATL,VPS,226580,250,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Eglin AFB Destin Fort Walton Beach,18880,"Crestview-Fort Walton Beach-Destin, FL"
DTW,BOS,264470,632,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",Logan International,14460,"Boston-Cambridge-Newton, MA-NH"
LAX,IND,80390,1814,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",Indianapolis International,26900,"Indianapolis-Carmel-Anderson, IN"
LAX,TUS,147880,451,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",Tucson International,46060,"Tucson, AZ"
MSP,LAX,472490,1535,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA"
SLC,LAX,597950,590,Salt Lake City International,41620,"Salt Lake City, UT",Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA"
ATL,MDW,363690,591,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Chicago Midway International,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
ATL,GSO,229550,306,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Piedmont Triad International,24660,"Greensboro-High Point, NC"
ATL,CLE,363070,554,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Cleveland-Hopkins International,17460,"Cleveland-Elyria, OH"
ATL,GRR,175370,640,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Gerald R. Ford International,24340,"Grand Rapids-Kentwood, MI"
ATL,PHL,640040,666,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Philadelphia International,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
ATL,SNA,139330,1919,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",John Wayne Airport-Orange County,31080,"Los Angeles-Long Beach-Anaheim, CA"
ATL,IAH,450090,689,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",George Bush Intercontinental/Houston,26420,"Houston-The Woodlands-Sugar Land, TX"
DTW,AZO,36720,113,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",Kalamazoo/Battle Creek International,28020,"Kalamazoo-Portage, MI"
DTW,JFK,89350,509,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA"
LAS,JFK,408930,2248,McCarran International,29820,"Las Vegas-Henderson-Paradise, NV",John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA"
LAX,DEN,790700,862,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",Denver International,19740,"Denver-Aurora-Lakewood, CO"
LAX,KOA,241250,2504,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",Kona International Airport at Keahole,25900,"Hilo, HI"
MCO,JFK,620540,944,Orlando International,36740,"Orlando-Kissimmee-Sanford, FL",John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA"
MCO,LGA,638260,950,Orlando International,36740,"Orlando-Kissimmee-Sanford, FL",LaGuardia,35620,"New York-Newark-Jersey City, NY-NJ-PA"
MIA,JFK,736430,1089,Miami International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA"
MIA,LGA,767670,1096,Miami International,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",LaGuardia,35620,"New York-Newark-Jersey City, NY-NJ-PA"
RSW,JFK,168630,1074,Southwest Florida International,15980,"Cape Coral-Fort Myers, FL",John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA"
SEA,LIH,132790,2701,Seattle/Tacoma International,42660,"Seattle-Tacoma-Bellevue, WA",Lihue Airport,28180,"Kapaa, HI"
SEA,SLC,424580,689,Seattle/Tacoma International,42660,"Seattle-Tacoma-Bellevue, WA",Salt Lake City International,41620,"Salt Lake City, UT"
SEA,SNA,409810,978,Seattle/Tacoma International,42660,"Seattle-Tacoma-Bellevue, WA",John Wayne Airport-Orange County,31080,"Los Angeles-Long Beach-Anaheim, CA"
SEA,GEG,432600,224,Seattle/Tacoma International,42660,"Seattle-Tacoma-Bellevue, WA",Spokane International,44060,"Spokane-Spokane Valley, WA"
SLC,GEG,148960,546,Salt Lake City International,41620,"Salt Lake City, UT",Spokane International,44060,"Spokane-Spokane Valley, WA"
SLC,JAC,76580,205,Salt Lake City International,41620,"Salt Lake City, UT",Jackson Hole,27220,"Jackson, WY-ID"
SLC,OAK,231730,588,Salt Lake City International,41620,"Salt Lake City, UT",Metropolitan Oakland International,41860,"San Francisco-Oakland-Berkeley, CA"
SLC,COS,44620,411,Salt Lake City International,41620,"Salt Lake City, UT",City of Colorado Springs Municipal,17820,"Colorado Springs, CO"
TPA,JFK,265210,1005,Tampa International,45300,"Tampa-St. Petersburg-Clearwater, FL",John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA"
SAN,JFK,304560,2446,San Diego International,41740,"San Diego-Chula Vista-Carlsbad, CA",John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA"
LAX,RNO,214400,391,Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA",Reno/Tahoe International,39900,"Reno, NV"
SEA,BOI,301640,399,Seattle/Tacoma International,42660,"Seattle-Tacoma-Bellevue, WA",Boise Air Terminal,14260,"Boise City, ID"
ATL,OAJ,56390,399,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Albert J Ellis,27340,"Jacksonville, NC"
DTW,CVG,71580,229,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",Cincinnati/Northern Kentucky International,17140,"Cincinnati, OH-KY-IN"
DTW,SYR,64510,374,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",Syracuse Hancock International,45060,"Syracuse, NY"
DTW,CLE,82190,95,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",Cleveland-Hopkins International,17460,"Cleveland-Elyria, OH"
DTW,TPA,334470,983,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",Tampa International,45300,"Tampa-St. Petersburg-Clearwater, FL"
JFK,SYR,60720,209,John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA",Syracuse Hancock International,45060,"Syracuse, NY"
JFK,LAS,391010,2248,John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA",McCarran International,29820,"Las Vegas-Henderson-Paradise, NV"
MSP,DLH,77650,144,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Duluth International,20260,"Duluth, MN-WI"
MSP,BDL,102230,1050,Minneapolis-St Paul International,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Bradley International,25540,"Hartford-East Hartford-Middletown, CT"
RDU,JFK,183080,427,Raleigh-Durham International,39580,"Raleigh-Cary, NC",John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA"
SLC,AUS,167430,1086,Salt Lake City International,41620,"Salt Lake City, UT",Austin - Bergstrom International,12420,"Austin-Round Rock-Georgetown, TX"
SLC,LAS,500620,368,Salt Lake City International,41620,"Salt Lake City, UT",McCarran International,29820,"Las Vegas-Henderson-Paradise, NV"
ATL,AGS,122800,143,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Augusta Regional at Bush Field,12260,"Augusta-Richmond County, GA-SC"
ATL,RIC,415870,481,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",Richmond International,40060,"Richmond, VA"
ATL,SAT,361450,874,Hartsfield-Jackson Atlanta International,12060,"Atlanta-Sandy Springs-Alpharetta, GA",San Antonio International,41700,"San Antonio-New Braunfels, TX"
BNA,LAX,276900,1797,Nashville International,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA"
CVG,LGA,114670,585,Cincinnati/Northern Kentucky International,17140,"Cincinnati, OH-KY-IN",LaGuardia,35620,"New York-Newark-Jersey City, NY-NJ-PA"
CVG,BOS,90330,752,Cincinnati/Northern Kentucky International,17140,"Cincinnati, OH-KY-IN",Logan International,14460,"Boston-Cambridge-Newton, MA-NH"
DFW,LAX,922130,1235,Dallas/Fort Worth International,19100,"Dallas-Fort Worth-Arlington, TX",Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA"
DTW,BDL,109560,549,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",Bradley International,25540,"Hartford-East Hartford-Middletown, CT"
DTW,BUF,104490,241,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",Buffalo Niagara International,15380,"Buffalo-Cheektowaga, NY"
DTW,LGA,386380,502,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",LaGuardia,35620,"New York-Newark-Jersey City, NY-NJ-PA"
DTW,RIC,54910,456,Detroit Metro Wayne County,19820,"Detroit-Warren-Dearborn, MI",Richmond International,40060,"Richmond, VA"
HNL,LAX,810630,2556,Daniel K Inouye International,46520,"Urban Honolulu, HI",Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA"
JFK,BUF,143910,301,John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA",Buffalo Niagara International,15380,"Buffalo-Cheektowaga, NY"
JFK,RIC,63770,288,John F. Kennedy International,35620,"New York-Newark-Jersey City, NY-NJ-PA",Richmond International,40060,"Richmond, VA"
RDU,MCO,259640,534,Raleigh-Durham International,39580,"Raleigh-Cary, NC",Orlando International,36740,"Orlando-Kissimmee-Sanford, FL"
SAT,LAX,160300,1211,San Antonio International,41700,"San Antonio-New Braunfels, TX",Los Angeles International,31080,"Los Angeles-Long Beach-Anaheim, CA"
SEA,ANC,926610,1448,Seattle/Tacoma International,42660,"Seattle-Tacoma-Bellevue, WA",Ted Stevens Anchorage International,11260,"Anchorage, AK"
